Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Expo	Body_Site	Indice
Year	0.79679564163979	1	0.417689252568468	0.519667124829804	0.00442384531834013	0.95	0	0.0669208735926078	Medium	Nose	shannon
Year:Gender	1.46018378648535	1	0.765444792261277	0.38385991501613	0.00807725636638161	0.95	0	0.0787509485889127	Medium	Nose	shannon
(Intercept)	389640.145756559	1	74.3482447651281	4.85359403086589e-15	NA	NA	NA	NA	Low	Nose	observed_otus
Age_num	39704.6909990837	1	7.57615486205058	0.00656873800588457	0.0433974208450016	0.95	0.00346413481492228	0.118163462050573	Low	Nose	observed_otus
Age_num:Gender	14587.9957618486	1	2.78357323121475	0.0971093046432218	0.0163948324224749	0.95	0	0.0732836618159967	Low	Nose	observed_otus
Age_num:Year	3436.43407101987	1	0.655714880034561	0.419229141386821	0.00391107980126866	0.95	0	0.0438489886063213	Low	Nose	observed_otus
Gender	3084.11788916949	1	0.588488517432558	0.444087367344733	0.00351150918919674	0.95	0	0.0425269189314091	Low	Nose	observed_otus
Residuals	875204.311102519	167	NA	NA	NA	NA	NA	NA	Low	Nose	observed_otus
Year	2472.77102169057	1	0.47183583922492	0.493096543105216	0.0028174041137155	0.95	0	0.0400522703886592	Low	Nose	observed_otus
Year:Gender	4974.75464210438	1	0.94924581002677	0.331320482640318	0.00565198018870829	0.95	0	0.0490445283017529	Low	Nose	observed_otus
(Intercept)	448320.313569191	1	38.7992646390144	1.31179265566669e-08	NA	NA	NA	NA	Medium	Nose	observed_otus
Age_num	22677.048887748	1	1.96255399186103	0.164533114950444	0.0204512480152152	0.95	0	0.107643295315673	Medium	Nose	observed_otus
Age_num:Gender	10887.9462004241	1	0.942282321856936	0.334182761019401	0.00992479113428697	0.95	0	0.083798172294513	Medium	Nose	observed_otus
Age_num:Year	2929.50342645636	1	0.253529842980086	0.615778443786034	0.00268987106798493	0.95	0	0.0593691690908749	Medium	Nose	observed_otus
Gender	2543.81633496331	1	0.22015108436093	0.640011296024374	0.00233656051096559	0.95	0	0.057469675494783	Medium	Nose	observed_otus
Residuals	1086157.42766238	94	NA	NA	NA	NA	NA	NA	Medium	Nose	observed_otus
Year	20107.6485836038	1	1.74018877809145	0.190319325831915	0.0181761577901721	0.95	0	0.102958013627797	Medium	Nose	observed_otus
Year:Gender	5978.6192164463	1	0.517411373372884	0.473732523055321	0.00547424401340141	0.95	0	0.0706914958044042	Medium	Nose	observed_otus
(Intercept)	90734.747440708	1	595.516164482614	8.81375462031237e-50	NA	NA	NA	NA	Low	Right_Arm	faith_pd
Age_num	149.044051058198	1	0.978215558302281	0.324520368360817	0.00764360992247654	0.95	0	0.067835339232847	Low	Right_Arm	faith_pd
Age_num:Gender	184.669562540181	1	1.21203522005144	0.273011673263162	0.00945336541902027	0.95	0	0.0687965632130179	Low	Right_Arm	faith_pd
Age_num:Year	49.5005897109513	1	0.324885472828988	0.569693278888691	0.00255162587912415	0.95	0	0.0473571219757037	Low	Right_Arm	faith_pd
Gender	2.08900821647694	1	0.0137107138746592	0.906971521442707	0.000107946723212784	0.95	0	0.0203239962600356	Low	Right_Arm	faith_pd
Residuals	19350.1261800029	127	NA	NA	NA	NA	NA	NA	Low	Right_Arm	faith_pd
Year	18.9385790129891	1	0.124298907008433	0.725002373231461	0.000977774572423462	0.95	0	0.0378566100096304	Low	Right_Arm	faith_pd
Year:Gender	212.272165345912	1	1.39319840853497	0.240071736741254	0.0108510296947502	0.95	0	0.0721783946678657	Low	Right_Arm	faith_pd
(Intercept)	142009.216764109	1	571.108156533374	1.74110078310033e-44	NA	NA	NA	NA	Medium	Right_Arm	faith_pd
Age_num	644.528457313252	1	2.59205330102562	0.110375136909654	0.0238696407539163	0.95	0	0.107765976567811	Medium	Right_Arm	faith_pd
Age_num:Gender	8.1602347347507	1	0.0328174235619116	0.856591221784777	0.000309502514026559	0.95	0	0.0322492155333574	Medium	Right_Arm	faith_pd
Age_num:Year	155.065718450896	1	0.623616541404634	0.431469484654001	0.00584876560778135	0.95	0	0.0664634210033088	Medium	Right_Arm	faith_pd
Gender	210.826627869294	1	0.847866142312325	0.359247574831961	0.00793526509161203	0.95	0	0.0726278823570372	Medium	Right_Arm	faith_pd
Residuals	26357.4890408975	106	NA	NA	NA	NA	NA	NA	Medium	Right_Arm	faith_pd
Year	118.208073844726	1	0.4753888281277	0.492025064558903	0.00446477663392309	0.95	0	0.0618062066430132	Medium	Right_Arm	faith_pd
