"Index"	"Age_grp2"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.disp"
"uu"	"Age_0-3"	"Expo"	"Nose"	"2016"	1	0.461590522840573	0.0727265895030824	1.91601218426809	0.023	0.0340322399171555	0.557
"uu"	"Age_0-3"	"Expo"	"Right_Arm"	"2015"	1	0.501157171000749	0.0680820109127168	2.26899101126236	0.001	0.0370302998079316	0.114
"uu"	"Age_0-3"	"Expo"	"Right_Arm"	"2016"	1	0.373406851959218	0.100302140596086	1.80596466222007	0.001	0.0428568635906883	0.945
"uu"	"Age_0-3"	"Expo"	"Right_Hand"	"2015"	1	0.531122343837471	0.0687351785211235	2.3633671805096	0.001	0.038553092909688	0.667
"uu"	"Age_0-3"	"Expo"	"Right_Hand"	"2016"	1	0.418262254553005	0.0922796196678771	1.82663375055846	0.008	0.0396911839166659	0.236
"uu"	"Age_0-3"	"Gender"	"Feces"	"2015"	1	0.186852803456546	0.0429424432127991	1.07122967365191	0.309	0.00284109214342856	NA
"uu"	"Age_0-3"	"Gender"	"Feces"	"2016"	1	0.221086195046294	0.0570268246673802	1.13639669146539	0.258	0.00677363947260752	NA
"uu"	"Age_0-3"	"Gender"	"Mouth"	"2015"	1	0.141631635009191	0.0304134000815126	0.960320919075318	0.384	-0.00124151071652725	NA
"uu"	"Age_0-3"	"Gender"	"Mouth"	"2016"	1	0.222601189525173	0.0658824493382361	1.61737169950952	0.112	0.0261405759863762	NA
"uu"	"Age_0-3"	"Gender"	"Nose"	"2015"	1	0.214393505085518	0.0384871794605916	0.993155721997312	0.406	-0.000263310775955375	NA
"uu"	"Age_0-3"	"Gender"	"Nose"	"2016"	1	0.340701835173246	0.0536797903845819	1.41421635647382	0.094	0.0156815690037421	NA
"uu"	"Age_0-3"	"Gender"	"Right_Arm"	"2015"	1	0.216689007760226	0.0294371192205797	0.981060312607156	0.465	-0.000574259505708028	NA
"uu"	"Age_0-3"	"Gender"	"Right_Arm"	"2016"	1	0.231593202176415	0.0622090725007199	1.12008962060148	0.178	0.00662742972666903	NA
"uu"	"Age_0-3"	"Gender"	"Right_Hand"	"2015"	1	0.222517160841386	0.0287970501559742	0.990148053710268	0.434	-0.000289847113174199	NA
"uu"	"Age_0-3"	"Gender"	"Right_Hand"	"2016"	1	0.221633790593787	0.0488982251659352	0.967918471618892	0.441	-0.00160665361423159	NA
"uu"	"Age_3-8"	"Expo"	"Feces"	"2015"	1	0.201349180348135	0.0415183165355513	1.52213823007263	0.039	0.0139154710979173	0.293
"uu"	"Age_3-8"	"Expo"	"Feces"	"2016"	1	0.280524494711214	0.0485379849454322	1.98445539767084	0.01	0.0234480925939427	0.781
"uu"	"Age_3-8"	"Expo"	"Mouth"	"2015"	1	0.382230311262466	0.121235282857936	4.6016512244908	0.001	0.0933030352392214	0.544
"uu"	"Age_3-8"	"Expo"	"Mouth"	"2016"	1	0.285898436638636	0.0744349930375423	2.74175693094785	0.011	0.0461493335918241	0.005
"uu"	"Age_3-8"	"Expo"	"Nose"	"2015"	1	0.407687142203052	0.0503490323681334	1.52225121422472	0.065	0.0171105076935257	0.048
"uu"	"Age_3-8"	"Expo"	"Nose"	"2016"	1	0.416816789282772	0.0487395942469009	1.53075294781537	0.081	0.0163154215540841	0.066
"uu"	"Age_3-8"	"Expo"	"Right_Arm"	"2015"	1	0.956516710184721	0.119170446524435	4.52842324403287	0.001	0.0915797467673256	0.236
"uu"	"Age_3-8"	"Expo"	"Right_Arm"	"2016"	1	0.386717957394453	0.0826713090437179	1.72056799254132	0.002	0.0331744544060156	0.526
"uu"	"Age_3-8"	"Expo"	"Right_Hand"	"2015"	1	1.08568488827184	0.135768991407767	5.09538857786748	0.001	0.107503525511925	0.828
"uu"	"Age_3-8"	"Expo"	"Right_Hand"	"2016"	1	0.5772975661691	0.0776356157065591	2.51560582681139	0.001	0.0452208990236708	0.056
"uu"	"Age_3-8"	"Gender"	"Feces"	"2015"	1	0.145573954057675	0.0300174328668646	1.100494575597	0.27	0.00270871255886439	NA
"uu"	"Age_3-8"	"Gender"	"Feces"	"2016"	1	0.126618477428875	0.0219082677881055	0.895710448519881	0.568	-0.00255013423990764	NA
"uu"	"Age_3-8"	"Gender"	"Mouth"	"2015"	1	0.0755704573396656	0.0239693334131913	0.909788882006308	0.541	-0.00258412098390517	NA
"uu"	"Age_3-8"	"Gender"	"Mouth"	"2016"	1	0.118177769362529	0.0307681341077448	1.13332105639743	0.259	0.00368969838641004	NA
"uu"	"Age_3-8"	"Gender"	"Nose"	"2015"	1	0.426777119233522	0.052706629093456	1.59353072663985	0.062	0.0194005305220632	NA
"uu"	"Age_3-8"	"Gender"	"Nose"	"2016"	1	0.231646263438415	0.0270870684173415	0.850717172930888	0.625	-0.00468695339758263	NA
"uu"	"Age_3-8"	"Gender"	"Right_Arm"	"2015"	1	0.239517144769035	0.0298409476682027	1.13394255862715	0.153	0.00381234068461408	NA
"uu"	"Age_3-8"	"Gender"	"Right_Arm"	"2016"	1	0.233407481314862	0.0498970933517181	1.0384659773128	0.309	0.00182836416658306	NA
"uu"	"Age_3-8"	"Gender"	"Right_Hand"	"2015"	1	0.216840216849792	0.0271166872233062	1.01768494348066	0.333	0.000519874985909362	NA
"uu"	"Age_3-8"	"Gender"	"Right_Hand"	"2016"	1	0.200377700688517	0.0269470149857879	0.873156827526708	0.861	-0.00397962376804	NA
"uu"	"Age_8-18"	"Expo"	"Feces"	"2015"	1	0.36713101187359	0.0761383941711951	2.79996500077246	0.001	0.0476181658034784	0.13
"uu"	"Age_8-18"	"Expo"	"Feces"	"2016"	1	0.4512946281971	0.074392651327125	3.47473208765055	0.002	0.0521273523583357	0.059
"uu"	"Age_8-18"	"Expo"	"Mouth"	"2015"	1	0.438352366009905	0.106286373695694	4.51601791754475	0.001	0.0807982459288207	0.029
"uu"	"Age_8-18"	"Expo"	"Mouth"	"2016"	1	0.166079179237664	0.0453977044226915	1.57497043869908	0.087	0.0161622183127274	0.746
"uu"	"Age_8-18"	"Expo"	"Nose"	"2015"	1	0.603037050826817	0.0704138989646649	2.20322719591434	0.005	0.0373635595151469	0.516
"uu"	"Age_8-18"	"Expo"	"Nose"	"2016"	1	0.315987432384309	0.0409190254643388	1.32818087031696	0.086	0.00984694819060008	0.422
"uu"	"Age_8-18"	"Expo"	"Right_Arm"	"2015"	1	0.716943905234415	0.0828477577218377	3.3765293312346	0.001	0.0574366523641844	0.004
"uu"	"Age_8-18"	"Expo"	"Right_Arm"	"2016"	1	0.377520173114613	0.0817955540678973	1.62548020068999	0.009	0.0303256067060715	0.793
"uu"	"Age_8-18"	"Expo"	"Right_Hand"	"2015"	1	0.823285874313457	0.0935594743336189	3.85563777033609	0.001	0.0682258812063768	0.146
"uu"	"Age_8-18"	"Expo"	"Right_Hand"	"2016"	1	0.623919676341224	0.0842205956229332	2.81780420174184	0.001	0.0537528749914582	0.012
"uu"	"Age_8-18"	"Gender"	"Feces"	"2015"	1	0.129624568732573	0.0268825192894084	0.988596016008576	0.411	-0.000316877712771871	NA
"uu"	"Age_8-18"	"Gender"	"Feces"	"2016"	1	0.155768699633632	0.0256773421075676	1.19933733984574	0.169	0.00441018279420686	NA
"uu"	"Age_8-18"	"Gender"	"Mouth"	"2015"	1	0.09314418198987	0.0225844733648167	0.959595128024921	0.422	-0.00101114317714249	NA
"uu"	"Age_8-18"	"Gender"	"Mouth"	"2016"	1	0.115133984235201	0.0314718474001895	1.09184439911396	0.305	0.00261725767586844	NA
"uu"	"Age_8-18"	"Gender"	"Nose"	"2015"	1	0.270051850746866	0.0315327287231171	0.986648467215603	0.428	-0.000430880183719242	NA
"uu"	"Age_8-18"	"Gender"	"Nose"	"2016"	1	0.266451215678697	0.0345042965699354	1.11996671787481	0.198	0.00362218715063095	NA
"uu"	"Age_8-18"	"Gender"	"Right_Arm"	"2015"	1	0.290262880888595	0.0335418554449364	1.36702624003554	0.026	0.00932318935643349	NA
"uu"	"Age_8-18"	"Gender"	"Right_Arm"	"2016"	1	0.28342627422945	0.0614086631364186	1.22034219605911	0.081	0.0108970557433027	NA
"uu"	"Age_8-18"	"Gender"	"Right_Hand"	"2015"	1	0.285897361639877	0.0324898163602055	1.33892333194393	0.039	0.00861547046125477	NA
"uu"	"Age_8-18"	"Gender"	"Right_Hand"	"2016"	1	0.294207979469611	0.0397140404567061	1.32872950184384	0.07	0.0101683396443122	NA
"wu"	"Adults"	"Expo"	"Feces"	"2015"	1	0.230543419530356	0.0301680361315947	1.79156351798481	0.105	0.0130209435681092	0.879
"wu"	"Adults"	"Expo"	"Feces"	"2016"	1	0.124208409705432	0.0140741260272804	1.05872397057292	0.326	0.000772087244004252	0.846
"wu"	"Adults"	"Expo"	"Mouth"	"2015"	1	0.204779998472985	0.040476581161956	2.60149758974863	0.036	0.0244125156984052	0.553
"wu"	"Adults"	"Expo"	"Mouth"	"2016"	1	0.204161372117662	0.0546315082359961	3.56306760888479	0.007	0.0385058516825729	0.503
"wu"	"Adults"	"Expo"	"Nose"	"2015"	1	0.131212779106491	0.0412607875449133	2.50387316296268	0.04	0.0261525542584026	0.233
"wu"	"Adults"	"Expo"	"Nose"	"2016"	1	0.0877298596691727	0.030996863357173	1.92458775791609	0.067	0.0156910348141024	0.214
"wu"	"Adults"	"Expo"	"Right_Arm"	"2015"	1	0.244194848483946	0.0738654376243671	5.10820752112563	0.001	0.0594460147135171	0.098
"wu"	"Adults"	"Expo"	"Right_Arm"	"2016"	1	0.106474172705769	0.0574160474874297	1.73155624676411	0.042	0.0238047250484146	0.525
"wu"	"Adults"	"Expo"	"Right_Hand"	"2015"	1	0.374520609916003	0.0805116624789518	5.53745285390072	0.001	0.0652519278126851	0.201
"wu"	"Adults"	"Expo"	"Right_Hand"	"2016"	1	0.177079824742469	0.042041574450481	1.88155332364227	0.038	0.0200893828242701	0.041
"wu"	"Adults"	"Gender"	"Feces"	"2015"	1	0.0856175814045645	0.0112035914734602	0.665338163435696	0.668	-0.00560898248238527	NA
"wu"	"Adults"	"Gender"	"Feces"	"2016"	1	0.14966743019894	0.0169589022176086	1.27573081678976	0.218	0.00361492199205605	NA
"wu"	"Adults"	"Gender"	"Mouth"	"2015"	1	0.0581079543165552	0.0114855520392025	0.73819564521427	0.597	-0.00410749554698742	NA
"wu"	"Adults"	"Gender"	"Mouth"	"2016"	1	0.0423928165563559	0.0113438868617658	0.739848434376185	0.577	-0.00408145880503082	NA
"wu"	"Adults"	"Gender"	"Nose"	"2015"	1	0.273678745005968	0.0860602193638863	5.22248571793151	0.002	0.0701147697175549	NA
"wu"	"Adults"	"Gender"	"Nose"	"2016"	1	0.217188288951114	0.0767373359627235	4.76460265244147	0.003	0.0609508114805731	NA
"wu"	"Adults"	"Gender"	"Right_Arm"	"2015"	1	0.0960029566048601	0.0290395167911059	2.00824476037824	0.041	0.0152745276599666	NA
"wu"	"Adults"	"Gender"	"Right_Arm"	"2016"	1	0.0811909313367754	0.0437820952322679	1.32038278170318	0.175	0.0105665810359267	NA
"wu"	"Adults"	"Gender"	"Right_Hand"	"2015"	1	0.105828932835053	0.0227503189286017	1.56472757609833	0.129	0.0086132833457269	NA
"wu"	"Adults"	"Gender"	"Right_Hand"	"2016"	1	0.243988154171257	0.057926678906218	2.59248462142944	0.013	0.0357119509026899	NA
"wu"	"Age_0-3"	"Expo"	"Feces"	"2015"	1	0.121424476693925	0.0298323050110699	0.716808197461264	0.566	-0.0114574584338047	0.606
