Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Residuals	131.317567839214	143	NA	NA	NA	NA	NA	NA	2016	Mouth	shannon
(Intercept)	389618.156338088	1	287.186985178721	1.52879322067084e-37	NA	NA	NA	NA	2015	Mouth	observed_otus
Age_num	4394.73573524112	1	3.23935341803194	0.0737731168853427	0.0198441941247858	0.95	0	0.0814595661723	2015	Mouth	observed_otus
Expo	20939.8803172162	1	15.4347557999486	0.000126762435019943	0.0879800341133607	0.95	0.0224349745298008	0.180152815537348	2015	Mouth	observed_otus
Gender	0.496991227526451	1	0.000366331522214126	0.984753437266302	2.28956677171028e-06	0.95	0	0	2015	Mouth	observed_otus
Residuals	217067.30538398	160	NA	NA	NA	NA	NA	NA	2015	Mouth	observed_otus
(Intercept)	255951.126596497	1	167.622297154847	7.35932267763021e-26	NA	NA	NA	NA	2016	Mouth	observed_otus
Age_num	25866.2380500279	1	16.9397896323193	6.49041176304713e-05	0.105913542035172	0.95	0.0296934823431476	0.207882049078792	2016	Mouth	observed_otus
Expo	10681.1897438379	1	6.99510717150094	0.0090869447866015	0.0466355690089471	0.95	0.00291327978043824	0.130074605353432	2016	Mouth	observed_otus
Gender	186.958425415301	1	0.122439002935003	0.726918925426732	0.000855484323688004	0.95	0	0.0336480476335794	2016	Mouth	observed_otus
Residuals	218354.071770581	143	NA	NA	NA	NA	NA	NA	2016	Mouth	observed_otus
(Intercept)	16724.5075845673	1	96.8312193606307	1.67886473778747e-17	NA	NA	NA	NA	2015	Nose	faith_pd
Age_num	1206.07833743077	1	6.98292822478248	0.00921662645528885	0.0498841416831158	0.95	0.00308603401105527	0.138453601927003	2015	Nose	faith_pd
Expo	1620.82226562996	1	9.38420432136563	0.00264989479281364	0.0659076220293733	0.95	0.00842728378698086	0.161001932015055	2015	Nose	faith_pd
Gender	13.1272522436739	1	0.0760039023679513	0.783215550833329	0.000571131534906263	0.95	0	0.0322400456856342	2015	Nose	faith_pd
Residuals	22971.511909431	133	NA	NA	NA	NA	NA	NA	2015	Nose	faith_pd
(Intercept)	14126.8795774114	1	125.933031731552	5.15117454005566e-21	NA	NA	NA	NA	2016	Nose	faith_pd
Age_num	1083.41691612268	1	9.65804062595242	0.00230241276452386	0.0672293773733097	0.95	0.009061094949357	0.162394355593646	2016	Nose	faith_pd
