Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
Age_num:Gender	0.0528386627858026	1	0.00523538554249307	0.942511241213501	6.98002681490445e-05	0.95	0	0.0217609368598404	2016	Mouth	faith_pd	0.967587610190413
Expo	7.24237033077009	1	0.717591985187074	0.399629996012834	0.00947721614453163	0.95	0	0.0950457679024394	2016	Mouth	faith_pd	0.693579579549383
Expo:Gender	13.9819978560389	1	1.38537096836493	0.242910313327177	0.0181366006448889	0.95	0	0.116314732148791	2016	Mouth	faith_pd	0.597802727388881
Gender	0.0149333500427247	1	0.00147963329866243	0.969418344735041	1.97280547783422e-05	0.95	0	0.0055041035233346	2016	Mouth	faith_pd	0.977066592005137
Residuals	756.945152705617	75	NA	NA	NA	NA	NA	NA	2016	Mouth	faith_pd	NA
(Intercept)	10.3545851846884	1	1156.24790624849	6.91075086309755e-54	NA	NA	NA	NA	2015	Mouth	pielou_e	2.76430034523902e-52
Age_num	5.99940627283857e-05	1	0.00669925527481416	0.934944614750068	7.28126900436556e-05	0.95	0	0.0204121572307206	2015	Mouth	pielou_e	0.967587610190413
Age_num:Expo	0.0039637189811722	1	0.442609886460233	0.507529910629543	0.00478794234610917	0.95	0	0.0692784474673354	2015	Mouth	pielou_e	0.792624812650885
Age_num:Gender	0.00875279707708709	1	0.977383749680782	0.325438583956614	0.0105120590649459	0.95	0	0.0912158963781272	2015	Mouth	pielou_e	0.66338043758909
Expo	0.0288148356455458	1	3.21761739266228	0.0761349271236017	0.0337922485436003	0.95	0	0.133567062506979	2015	Mouth	pielou_e	0.297862154473664
Expo:Gender	0.00169735560657391	1	0.189535730428131	0.664322976496365	0.00205593540445147	0.95	0	0.0566783858686239	2015	Mouth	pielou_e	0.852042789222406
Gender	0.0208515619440511	1	2.32839601102236	0.130463307742929	0.0246839351614787	0.95	0	0.117156751711161	2015	Mouth	pielou_e	0.410446361438427
Residuals	0.823890648228	92	NA	NA	NA	NA	NA	NA	2015	Mouth	pielou_e	NA
(Intercept)	4.73596700007703	1	392.053315415518	1.63476411185819e-31	NA	NA	NA	NA	2016	Mouth	pielou_e	2.28866975660146e-30
Age_num	0.00459087107830336	1	0.380041969647333	0.53944753113856	0.00504167893406536	0.95	0	0.0806004506991957	2016	Mouth	pielou_e	0.79508281318534
Age_num:Expo	0.00128512376729806	1	0.106385250083096	0.745205992302699	0.00141646079396396	0.95	0	0.0593810612261523	2016	Mouth	pielou_e	0.887905012105343
Age_num:Gender	0.0031937050636518	1	0.264381626528152	0.608637539463248	0.00351270575555976	0.95	0	0.0740087484045821	2016	Mouth	pielou_e	0.820349186508367
Expo	0.0123228088787917	1	1.0201080531354	0.315740812644292	0.0134189240091895	0.95	0	0.105402028228897	2016	Mouth	pielou_e	0.66338043758909
Expo:Gender	0.0355746320469977	1	2.94494290996659	0.0902749083047712	0.0377823473854906	0.95	0	0.153619057005213	2016	Mouth	pielou_e	0.340342923117346
Gender	0.000273531245656322	1	0.0226434921796443	0.880791834678158	0.000301822104975608	0.95	0	0.0402817566795406	2016	Mouth	pielou_e	0.941304250801085
Residuals	0.905992912288781	75	NA	NA	NA	NA	NA	NA	2016	Mouth	pielou_e	NA
(Intercept)	423.203785065917	1	646.171132845515	2.21886456204914e-43	NA	NA	NA	NA	2015	Mouth	shannon	5.64801888521599e-42
Age_num	0.311664198083172	1	0.475866273056665	0.492037146766676	0.0051458428261873	0.95	0	0.070569407008324	2015	Mouth	shannon	0.787259434826682
Age_num:Expo	0.0950364522493103	1	0.145106953620442	0.704134100188502	0.00157476569747191	0.95	0	0.0477131045707291	2015	Mouth	shannon	0.8695031436451
Age_num:Gender	0.59351758474093	1	0.906215737262476	0.343614822698407	0.00975409158656555	0.95	0	0.0844538300146257	2015	Mouth	shannon	0.672812240248629
Expo	3.3505416053347	1	5.11579371727012	0.0260641426210727	0.052677257956245	0.95	0	0.163645548019549	2015	Mouth	shannon	0.121632665565006
Expo:Gender	0.996612546467567	1	1.52168359755737	0.220507173446421	0.0162709174923057	0.95	0	0.100054287816233	2015	Mouth	shannon	0.577028117429886
Gender	1.03802562205829	1	1.58491539016741	0.211239149628974	0.0169355860777316	0.95	0	0.101502622664156	2015	Mouth	shannon	0.563304399010598
Residuals	60.2545459661888	92	NA	NA	NA	NA	NA	NA	2015	Mouth	shannon	NA
(Intercept)	178.879493657164	1	175.584065979901	2.46525210271217e-21	NA	NA	NA	NA	2016	Mouth	shannon	2.65488687984388e-20
Age_num	0.45679091990219	1	0.448375637583395	0.505163645401306	0.00594281366290998	0.95	0	0.0839433124938576	2016	Mouth	shannon	0.792624812650885
Age_num:Expo	0.241451311576384	1	0.237003147515694	0.627798759157617	0.00315008755799332	0.95	0	0.0721844535399691	2016	Mouth	shannon	0.820349186508367
Age_num:Gender	0.158853571553379	1	0.155927073688105	0.694055158183856	0.00207471426086226	0.95	0	0.0657007909226648	2016	Mouth	shannon	0.8695031436451
Expo	0.154721664895121	1	0.151871287546978	0.697857929127372	0.00202085836247359	0.95	0	0.065314316982618	2016	Mouth	shannon	0.8695031436451
Expo:Gender	2.7446072170079	1	2.69404438053499	0.104911077944525	0.0346750436537957	0.95	0	0.148276394304437	2016	Mouth	shannon	0.371836731955277
Gender	0.0200845345362524	1	0.0197145249301062	0.888713715993373	0.000262791255004774	0.95	0	0.0385402489110385	2016	Mouth	shannon	0.946159089270511
Residuals	76.4076281604221	75	NA	NA	NA	NA	NA	NA	2016	Mouth	shannon	NA
(Intercept)	181272.248015725	1	237.963714974006	2.9707812089371e-27	NA	NA	NA	NA	2015	Mouth	observed_otus	3.78099426591995e-26
Age_num	1339.15106857812	1	1.75796001141121	0.188161806312439	0.0187499814543453	0.95	0	0.1053572606889	2015	Mouth	observed_otus	0.521636690767159
Age_num:Expo	313.430593551049	1	0.411453541534086	0.522827538758565	0.00445240850312087	0.95	0	0.0680210178059114	2015	Mouth	observed_otus	0.79508281318534
Age_num:Gender	535.196291332642	1	0.702574713558899	0.404092335345707	0.00757880474981175	0.95	0	0.0783791543064821	2015	Mouth	observed_otus	0.694146342925142
Expo	4938.7059639653	1	6.48324733219787	0.012551566202628	0.0658309662589513	0.95	0.00295487252111706	0.182613643473867	2015	Mouth	observed_otus	0.0638988824861061
Expo:Gender	3617.14171581283	1	4.74837428069851	0.0318805765743023	0.0490796286346056	0.95	0	0.158215897862603	2015	Mouth	observed_otus	0.143976797432333
Gender	352.99734920419	1	0.463394488191697	0.497751519790359	0.00501165343060033	0.95	0	0.0700910206394719	2015	Mouth	observed_otus	0.791877417848299
Residuals	70082.3098986686	92	NA	NA	NA	NA	NA	NA	2015	Mouth	observed_otus	NA
(Intercept)	69294.850114449	1	55.4401778123925	1.34368255848786e-10	NA	NA	NA	NA	2016	Mouth	observed_otus	1.07494604679029e-09
Age_num	305.699586390459	1	0.244578628839952	0.62236413910532	0.00325044851465497	0.95	0	0.0727030246155657	2016	Mouth	observed_otus	0.820349186508367
Age_num:Expo	660.947389305322	1	0.528798903918591	0.469376120062167	0.00700128840379528	0.95	0	0.0875424573539677	2016	Mouth	observed_otus	0.763396911570628
