Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Age_num:Urban	0.00658513979939435	1	0.528791167118608	0.471247572647305	0.0127331220644171	0.95	0	0.149366902822118	2016	Mouth	pielou_e
Gender	0.00146096150254893	1	0.117316193973476	0.733713505630223	0.00285320650355752	0.95	0	0.107177492069154	2016	Mouth	pielou_e
Residuals	0.510581016786555	41	NA	NA	NA	NA	NA	NA	2016	Mouth	pielou_e
Urban	0.000391833606419589	1	0.031464502860511	0.860081499966408	0.000766838406616401	0.95	0	0.0779280745982405	2016	Mouth	pielou_e
Urban:Gender	0.0083879368480656	1	0.673556985990447	0.416560599911381	0.0161626948766787	0.95	0	0.158676741771487	2016	Mouth	pielou_e
(Intercept)	180.92373576316	1	219.867330822505	1.67247614505173e-20	NA	NA	NA	NA	2015	Mouth	shannon
Age_num	0.21579205489126	1	0.262241009569656	0.610712113738661	0.00492358197099778	0.95	0	0.10141170291582	2015	Mouth	shannon
Age_num:Gender	0.854093344774462	1	1.03793580868046	0.312930218883487	0.0192075399096524	0.95	0	0.143751234498702	2015	Mouth	shannon
Age_num:Urban	0.338511030768231	1	0.41137508284936	0.524036520587525	0.00770201258086416	0.95	0	0.112454919148848	2015	Mouth	shannon
Gender	1.23466287482215	1	1.50042242720516	0.226022637436734	0.0275304733501697	0.95	0	0.161316654993721	2015	Mouth	shannon
Residuals	43.6124728470393	53	NA	NA	NA	NA	NA	NA	2015	Mouth	shannon
Urban	0.644319688243613	1	0.783008649765883	0.380219515220236	0.0145586621020929	0.95	0	0.132577315497053	2015	Mouth	shannon
Urban:Gender	0.238805904457614	1	0.290208559845805	0.592342531472476	0.00544581392508336	0.95	0	0.103741069329176	2015	Mouth	shannon
(Intercept)	66.7414868338744	1	63.7776966205593	6.93395220674521e-10	NA	NA	NA	NA	2016	Mouth	shannon
Age_num	0.0472111337671066	1	0.0451146282372441	0.832845870060621	0.00109914733204831	0.95	0	0.0860210871222348	2016	Mouth	shannon
Age_num:Gender	0.000206137183042188	1	0.000196983246043129	0.988870075302422	4.80444633287061e-06	0.95	0	0	2016	Mouth	shannon
Age_num:Urban	0.183955147237107	1	0.175786248236889	0.677208417135221	0.00426916555222831	0.95	0	0.116849267388774	2016	Mouth	shannon
Gender	0.0436787330101609	1	0.0417390908540348	0.83912870313584	0.00101699128201261	0.95	0	0.0843449210830337	2016	Mouth	shannon
Residuals	42.905296133049	41	NA	NA	NA	NA	NA	NA	2016	Mouth	shannon
Urban	0.0855835884200289	1	0.08178307671715	0.776335418296729	0.00199073824435581	0.95	0	0.0990085647147625	2016	Mouth	shannon
Urban:Gender	0.365813119510186	1	0.349568450790035	0.557603350421583	0.00845398063116561	0.95	0	0.135626123031724	2016	Mouth	shannon
(Intercept)	85860.8560772722	1	100.323646362361	7.95143348655363e-14	NA	NA	NA	NA	2015	Mouth	observed_otus
Age_num	394.573492896125	1	0.461037233656825	0.500094115842916	0.00862379889192602	0.95	0	0.115582041335912	2015	Mouth	observed_otus
Age_num:Gender	253.818016756806	1	0.296572269563547	0.588323467647205	0.00556456554210546	0.95	0	0.104250229204048	2015	Mouth	observed_otus
Age_num:Urban	10.1046754893614	1	0.01180675265442	0.913883397628075	0.000222719303069761	0.95	0	0.0447624981523565	2015	Mouth	observed_otus
Gender	364.048763917344	1	0.425370781500583	0.517087947859498	0.0079619621778624	0.95	0	0.113356731461384	2015	Mouth	observed_otus
Residuals	45359.4495126197	53	NA	NA	NA	NA	NA	NA	2015	Mouth	observed_otus
Urban	1922.28673462041	1	2.24608539189915	0.139885969959218	0.040656009850582	0.95	0	0.185327848243911	2015	Mouth	observed_otus
