gene_by_taxon	geneID	taxon	term	Estimate	Std.Error	t.value	p.value	fdr
K01689 mmil	K01689	mmil	MediumUrban	-1.1331588591575663	0.4637855807422531	-2.443281779791499	0.0166236287202903	0.04006159917308826
K01689 msi	K01689	msi	MediumUrban	-2.0285911282487135	0.6632948956257103	-3.058354800597507	0.002975885130223517	0.011300769529604775
K01689 sutt	K01689	sutt	MediumUrban	1.6581633533489555	0.6580089823389416	2.519970696228023	0.013606224638379546	0.03402985384872027
K01698 msi	K01698	msi	MediumUrban	-1.9627624783523745	0.6722137656465015	-2.9198486830520167	0.004482344595719446	0.01489426178309028
K01698 sutt	K01698	sutt	MediumUrban	1.9157052436990698	0.6488732982306248	2.952356413683374	0.00407609090000194	0.013925715664857069
K01703 mol	K01703	mol	MediumUrban	-0.9689234561942428	0.35128302568542186	-2.758241603913778	0.007113674113683826	0.020736034778922354
K01703 msi	K01703	msi	MediumUrban	-2.8035331533720287	0.6867042392463953	-4.082591883295622	1.0025403102379523e-4	0.0014954263567595336
K01704 msi	K01704	msi	MediumUrban	-2.1908234575221	0.6186288375923683	-3.5414182533884633	6.487665558348706e-4	0.004130249116157291
K01710 msi	K01710	msi	MediumUrban	-2.664832949234433	0.6612356743586699	-4.030080427555644	1.210004192088402e-4	0.001621999369783592
K01714 msi	K01714	msi	MediumUrban	-1.6088746863779377	0.6698669537312155	-2.401782439656666	0.018494518355042098	0.04342746371139569
K01719 msi	K01719	msi	MediumUrban	-2.120950354091418	0.5836093313512091	-3.6341954114764756	4.76507835222732e-4	0.00336666218298316
K01733 msi	K01733	msi	MediumUrban	-2.3133260730439718	0.6905475877760587	-3.3499879139309545	0.0012068919299592544	0.006148306701480873
K01733 sutt	K01733	sutt	MediumUrban	1.4145737099131799	0.4410392659506512	3.2073645571309735	0.0018890483939340995	0.008245675162259176
K01738 mru	K01738	mru	MediumUrban	-1.5848527962736276	0.6434670153714974	-2.462989956615932	0.015795863565781255	0.03845598277108913
K01738 msi	K01738	msi	MediumUrban	-1.7814982696970858	0.666604995191724	-2.6724946295740017	0.009024225388050016	0.024830425707116247
K01740 msi	K01740	msi	MediumUrban	-2.2697629243644375	0.7377071553040873	-3.0767804108241674	0.0028154225533300655	0.010807815028251724
K01744 sutt	K01744	sutt	MediumUrban	1.707768297356882	0.6380749939424906	2.676438214268592	0.008927016005055508	0.02465803376802455
K01749 msi	K01749	msi	MediumUrban	-2.4804665300079125	0.6496386796433467	-3.8182248190173884	2.546614496499905e-4	0.0023593342864460212
K01749 sutt	K01749	sutt	MediumUrban	1.882726291173161	0.6544216120286338	2.8769317158351786	0.00507591053000039	0.016244278188079206
K01755 msi	K01755	msi	MediumUrban	-2.287972161048937	0.6840762273946563	-3.344615803655114	0.0012277098724411918	0.006187858779718625
K01755 sutt	K01755	sutt	MediumUrban	2.138158156029335	0.5392846380531128	3.964804493130682	1.525679893308655e-4	0.0018394107400697198
K01756 mmil	K01756	mmil	MediumUrban	-0.7813561647259284	0.3205230627762395	-2.437753333436107	0.016862689379709507	0.04057941573462473
K01756 msi	K01756	msi	MediumUrban	-2.297615281926638	0.6878928024995508	-3.340077514371345	0.0012455591044460367	0.006224723272218675
K01772 sutt	K01772	sutt	MediumUrban	2.1762135269178504	0.643217262871447	3.3833257478240086	0.0010849407469978348	0.005721232321699916
K01775 sutt	K01775	sutt	MediumUrban	1.8618736901105546	0.5849974087960077	3.1827041660620443	0.0020385873615586057	0.008636790939272313
K01779 sutt	K01779	sutt	MediumUrban	1.788822334260721	0.6065720640668449	2.9490681161069605	0.00411558304296692	0.014038973102155065
K01784 msi	K01784	msi	MediumUrban	-2.4647560843592635	0.7031323185155829	-3.505394389441138	7.303654404905068e-4	0.004471616292362423
K01790 msi	K01790	msi	MediumUrban	-1.9309653784995897	0.6824294612345081	-2.8295457452943085	0.0058147065658805995	0.017887359603826494
K01790 sutt	K01790	sutt	MediumUrban	0.6253278815588801	0.2639544723126331	2.3690747729336783	0.020098869077719763	0.04617358319845866
K01791 msi	K01791	msi	MediumUrban	-2.3948053056684144	0.6599227055775059	-3.6289178799700386	4.850106287830066e-4	0.0033766383249483585
K01802 msi	K01802	msi	MediumUrban	-2.342451465797407	0.6119018776369131	-3.8281488444579637	2.4606954429267605e-4	0.0023435663398434464
K01803 msi	K01803	msi	MediumUrban	-2.908541485701226	0.5926714419486812	-4.907510772137177	4.398913892122382e-6	3.378649670046256e-4
K01807 msi	K01807	msi	MediumUrban	-1.879072275248515	0.6444867213211226	-2.9156105363918683	0.004537977265424649	0.015006838706911234
K01807 sutt	K01807	sutt	MediumUrban	2.57181426697006	0.6263266507437272	4.106186865777111	9.208712856441665e-5	0.001461901211230667
K01810 sutt	K01810	sutt	MediumUrban	1.8061937280261873	0.5653429343523628	3.194863892825157	0.001963521453513391	0.008469464820317725
K01814 msi	K01814	msi	MediumUrban	-2.559860080751814	0.6829935879308201	-3.748000165722054	3.241647324702949e-4	0.002668386145622964
K01823 msi	K01823	msi	MediumUrban	-2.9807295923807837	0.6678236279785701	-4.463348506256255	2.460855096529569e-5	7.140137704981649e-4
K01845 msi	K01845	msi	MediumUrban	-2.4475046234953868	0.6949916167632622	-3.521631864991388	6.924519101215777e-4	0.004315607252249133
K01854 mol	K01854	mol	MediumUrban	1.8363964632402479	0.6178765854752223	2.9721088424605626	0.0038461399585305203	0.01340799303259322
K01854 msi	K01854	msi	MediumUrban	-2.6084417425416144	0.677160481257886	-3.852028898225427	2.2651445548478802e-4	0.0022447847494178478
K01858 mmil	K01858	mmil	MediumUrban	-2.14859028669181	0.5833335556099356	-3.6832962308249804	4.0390197889624674e-4	0.0030241843136854197
K01858 mru	K01858	mru	MediumUrban	-1.343080683268888	0.5339349092724143	-2.5154389794424294	0.013769814144412293	0.034330814112927405
K01858 msi	K01858	msi	MediumUrban	-2.563268650893509	0.6580093832585097	-3.895489511410945	1.946718449720477e-4	0.0020591226566185595
K01866 msi	K01866	msi	MediumUrban	-1.9465854169484351	0.6688821943179035	-2.910206660432151	0.00460983523547	0.015202240575698158
K01867 msi	K01867	msi	MediumUrban	-2.586367499305177	0.656666242076171	-3.938633256261051	1.6732290059336575e-4	0.0019153645495807877
K01867 sutt	K01867	sutt	MediumUrban	2.3692646139236886	0.6045820588435193	3.9188470436184617	1.7937483467700803e-4	0.0019795390624834344
K01868 msi	K01868	msi	MediumUrban	-2.9583230827121687	0.7083908149481445	-4.176117222706683	7.146777426881138e-5	0.001290298067515118
K01868 sutt	K01868	sutt	MediumUrban	1.6953223725664721	0.58119687151998	2.916950272173293	0.004520322592594911	0.014990094837003459
K01869 msi	K01869	msi	MediumUrban	-2.308016529127005	0.7259684400688727	-3.1792243322699307	0.0020605576335765035	0.008693781014212318
K01869 sutt	K01869	sutt	MediumUrban	1.6940972783756076	0.6534912794027264	2.5923793197729696	0.011219038883673736	0.029130350689233548
K01870 msi	K01870	msi	MediumUrban	-3.417770509656628	0.702580206543468	-4.864598344538153	5.213772341862852e-6	3.879372483117328e-4
K01870 sutt	K01870	sutt	MediumUrban	1.9226350615009693	0.5524960121128902	3.4799075818634537	7.93856700378177e-4	0.004699760612788194
K01872 msi	K01872	msi	MediumUrban	-2.74798716638565	0.7141537843420263	-3.847892746122549	2.2979170640960244e-4	0.0022447847494178478
K01872 sutt	K01872	sutt	MediumUrban	1.742907807002739	0.6244861013354364	2.7909473137602365	0.006488051668238614	0.0192422680645212
K01873 msi	K01873	msi	MediumUrban	-3.195613736239887	0.6906832244014923	-4.626742945739022	1.3191360700828604e-5	5.323496581131001e-4
K01874 msi	K01874	msi	MediumUrban	-2.425477717255813	0.7010471052810996	-3.459792785654919	8.476093103952274e-4	0.0048984411845898945
K01874 sutt	K01874	sutt	MediumUrban	1.9090198170457318	0.5323758624680652	3.5858496818312178	5.599841683456801e-4	0.003736385196123296
K01875 msi	K01875	msi	MediumUrban	-2.0510451905829568	0.6750035349163152	-3.0385695548057226	0.0031576152835788044	0.011710719610905192
K01875 sutt	K01875	sutt	MediumUrban	1.3984529651575905	0.5403342168471321	2.5881258701653387	0.011348048519102708	0.029369242960851683
K01878 sutt	K01878	sutt	MediumUrban	1.8976886226191823	0.6586517892944934	2.8811712857439704	0.005014207841790825	0.016133552528789126
K01879 sutt	K01879	sutt	MediumUrban	1.5075200253004246	0.5336116205393415	2.8251259291855693	0.005888421507762719	0.018085323388429678
K01880 msi	K01880	msi	MediumUrban	-2.802151994823285	0.6955237687964765	-4.028837144806834	1.2153837117504476e-4	0.001621999369783592
K01881 msi	K01881	msi	MediumUrban	-3.8163873197570624	0.607838980917479	-6.278615619545433	1.388919369592146e-8	3.3070170189988994e-5
K01881 sutt	K01881	sutt	MediumUrban	1.4051959727401324	0.5994491683417189	2.344145337005612	0.021403500182063984	0.04853498469856604
K01883 msi	K01883	msi	MediumUrban	-2.2077714429219255	0.6660355072491458	-3.314795410893999	0.0013495398727608812	0.006531004953340769
K01885 msi	K01885	msi	MediumUrban	-2.508231295735813	0.6964992318119909	-3.6011975048565033	5.320877054755919e-4	0.0036300883287604135
K01886 sutt	K01886	sutt	MediumUrban	1.2067002642529474	0.4599171151793973	2.623734199981352	0.010308203948647938	0.027331663253597708
K01887 msi	K01887	msi	MediumUrban	-2.9658010171094586	0.7104507501473245	-4.174534288962954	7.188097543028498e-5	0.001290298067515118
K01887 sutt	K01887	sutt	MediumUrban	1.8074710747910867	0.6331566825438176	2.8546979359504756	0.005411090321403838	0.01697471153526026
K01889 msi	K01889	msi	MediumUrban	-3.5706606419141576	0.6271031070299097	-5.693897226606876	1.7352672002369684e-7	1.377223734588074e-4
K01890 msi	K01890	msi	MediumUrban	-3.0732758793132136	0.6755152570348125	-4.549528448555579	1.773790958392484e-5	6.210876870488977e-4
K01892 msi	K01892	msi	MediumUrban	-2.107691956824566	0.6943235969763292	-3.0356046748277534	0.0031857186845811094	0.01179657260962305
K01892 sutt	K01892	sutt	MediumUrban	3.2142202489381715	0.5976399653749286	5.3781882657759255	6.516513036565328e-7	1.7239797266735605e-4
K01895 msi	K01895	msi	MediumUrban	-2.0667852055522613	0.7030605456666861	-2.939697325203203	0.004230071724298789	0.014306535192550308
K01897 msi	K01897	msi	MediumUrban	-2.57257673568871	0.6852960547508836	-3.7539640245322645	3.17622552913589e-4	0.0026350498205130845
K01897 sutt	K01897	sutt	MediumUrban	1.8517887530174522	0.5526735920280971	3.3506011138004763	0.0012045368788706201	0.006148306701480873
K01903 msi	K01903	msi	MediumUrban	-2.134098233171018	0.6753159360378193	-3.1601478941724594	0.0021849773473335407	0.009047706198262888
K01905 msi	K01905	msi	MediumUrban	-2.820468204784018	0.6252966011207942	-4.510608565165002	2.0572845338693138e-5	6.697679358654804e-4
K01912 msi	K01912	msi	MediumUrban	-2.2420606369116105	0.6993523905186695	-3.2059097349317747	0.0018975777713278485	0.008259840353805498
K01915 msi	K01915	msi	MediumUrban	-2.4893298973445477	0.7032850332923456	-3.539574680966897	6.527239951250965e-4	0.004144362219714279
K01916 msi	K01916	msi	MediumUrban	-2.3245921578652604	0.6172871526316385	-3.765819761443251	3.049887967435174e-4	0.002602789695506505
K01924 msi	K01924	msi	MediumUrban	-2.371778499745606	0.6427549914507333	-3.690019574009642	3.9481995731745353e-4	0.002974893412572332
K01925 msi	K01925	msi	MediumUrban	-3.199343013097689	0.6889661172257696	-4.643687016105155	1.235705795189801e-5	5.253956247048064e-4
K01925 sutt	K01925	sutt	MediumUrban	2.8528058073433864	0.6057674083857463	4.709407881393893	9.579696768059402e-6	4.77429983868058e-4
K01933 msi	K01933	msi	MediumUrban	-2.7272771753041867	0.6689628802614515	-4.076873703722218	1.0233557485904733e-4	0.0014954263567595336
K01933 sutt	K01933	sutt	MediumUrban	1.5683860907278313	0.5969918907671209	2.6271480651311547	0.010213189096242265	0.02714018218543843
K01937 msi	K01937	msi	MediumUrban	-2.6939525161182107	0.6736111335124059	-3.999269581651884	1.3502911347944803e-4	0.0017378611848354905
K01937 sutt	K01937	sutt	MediumUrban	1.9275632022899678	0.5938435533842744	3.2459107980627473	0.0016756965207364851	0.007556502681578733
K01938 sutt	K01938	sutt	MediumUrban	2.2506287925560873	0.5907870156258305	3.809543427713893	2.624115956315112e-4	0.002390682641627269
K01939 msi	K01939	msi	MediumUrban	-2.375661976107652	0.6586191004963353	-3.607034740288208	5.218278773079679e-4	0.0036013686257109325
K01940 msi	K01940	msi	MediumUrban	-2.745179053360246	0.6469248438476369	-4.24342808823522	5.5866078911333275e-5	0.0011422062892175215
K01940 sutt	K01940	sutt	MediumUrban	1.7020151243918709	0.6849156482145169	2.4849996183162055	0.014915204676551441	0.03664922841575746
K01945 msi	K01945	msi	MediumUrban	-2.9210162360933563	0.6750382642007794	-4.327186162626992	4.099326578246808e-5	9.476210274568593e-4
K01945 sutt	K01945	sutt	MediumUrban	1.819432423505577	0.6776881428149063	2.6847635491278026	0.008724915161021921	0.024268718456066818
K01951 msi	K01951	msi	MediumUrban	-1.817271078055122	0.7153720229184137	-2.540316115021424	0.012893107261871279	0.032623260776318296
K01951 sutt	K01951	sutt	MediumUrban	1.7290857316411317	0.6334865397828535	2.7294750922945066	0.0077089932664952815	0.022008528738039886
K01952 msi	K01952	msi	MediumUrban	-2.4903190703734404	0.7535617800246355	-3.3047311267458745	0.0013931570943858994	0.006714791582455114
K01952 sutt	K01952	sutt	MediumUrban	1.856921172955309	0.5949405893713956	3.12118757087544	0.002461150207552349	0.009915395337025623
K01953 msi	K01953	msi	MediumUrban	-3.4307181310009756	0.65314917150216	-5.252579779150237	1.0932612427080755e-6	1.859325013491377e-4
K01955 msi	K01955	msi	MediumUrban	-3.0364166291239765	0.7067638489613777	-4.296225158638394	4.598087621009242e-5	0.001013220636130536
K01956 msi	K01956	msi	MediumUrban	-1.8261579343563266	0.6890669118289272	-2.6501895578026273	0.0095923770595765	0.025807287885708075
K01956 sutt	K01956	sutt	MediumUrban	1.7598465915052712	0.597720759769812	2.944262120296784	0.004173938512257491	0.014197353710978694
K01959 msi	K01959	msi	MediumUrban	-2.9262147593563097	0.6702016465985998	-4.366170650590615	3.545225094359542e-5	8.987432050463344e-4
K01960 msi	K01960	msi	MediumUrban	-2.574869675239469	0.7003107624034393	-3.676752969499735	4.1293117729766896e-4	0.0030628944957811523
