Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Age_num:Gender	0.0412832622950532	1	0.0570379164311975	0.811551875093451	0.000363166892664478	0.95	0	0.0255557074524998	2015	Mouth	shannon
Expo	7.63590885224951	1	10.5499494656709	0.0014210187847722	0.0629659961063282	0.95	0.00986053782882507	0.148644435067273	2015	Mouth	shannon
Expo:Gender	0.125291683530449	1	0.173105907272016	0.677934288973675	0.00110137104101095	0.95	0	0.033310257046243	2015	Mouth	shannon
Gender	0.558598229552828	1	0.771772320417296	0.381011832101045	0.0048917008984973	0.95	0	0.0487880260736461	2015	Mouth	shannon
Residuals	113.634448553914	157	NA	NA	NA	NA	NA	NA	2015	Mouth	shannon
(Intercept)	723.647944579803	1	821.020522849698	1.99271872328133e-60	NA	NA	NA	NA	2016	Mouth	shannon
Age_num	0.372063070088146	1	0.422127111152385	0.516942165454378	0.00300612958823965	0.95	0	0.0460642003147884	2016	Mouth	shannon
Age_num:Expo	6.16215967263192	1	6.99132719743343	0.00912528914897102	0.0475628551067026	0.95	0.00296257910094523	0.132476946479845	2016	Mouth	shannon
Age_num:Gender	0.935146968513806	1	1.06097842021279	0.304768362643972	0.00752141685174052	0.95	0	0.0600760790315527	2016	Mouth	shannon
Expo	3.70788880618669	1	4.20681469369975	0.0421266526552146	0.0291720935840319	0.95	0	0.103580569550273	2016	Mouth	shannon
Expo:Gender	1.28580245110258	1	1.45881738294532	0.229154788180857	0.01031266491502	0.95	0	0.0669951150977173	2016	Mouth	shannon
Gender	0.737512647068897	1	0.836750831174364	0.361900491566112	0.00594128184750162	0.95	0	0.0557366142625712	2016	Mouth	shannon
Residuals	123.396077712565	140	NA	NA	NA	NA	NA	NA	2016	Mouth	shannon
(Intercept)	384968.471206532	1	281.380685378656	7.77773436086547e-37	NA	NA	NA	NA	2015	Mouth	observed_otus
Age_num	2801.31580214345	1	2.04753432897704	0.154440333380762	0.0128737256922316	0.95	0	0.0683923523659618	2015	Mouth	observed_otus
Age_num:Expo	988.306913231965	1	0.722372083454286	0.396661160625628	0.00458002294736008	0.95	0	0.0478390557118343	2015	Mouth	observed_otus
Age_num:Gender	239.511234280682	1	0.175063259197738	0.676222352970211	0.00111381064888799	0.95	0	0.033397129334556	2015	Mouth	observed_otus
Expo	4627.83514525503	1	3.38257161920328	0.067778134625011	0.0210906433601434	0.95	0	0.0845020474375932	2015	Mouth	observed_otus
Expo:Gender	1009.1384364056	1	0.737598234961467	0.391740682498898	0.0046761092042416	0.95	0	0.0481343681151327	2015	Mouth	observed_otus
Gender	117.864412409137	1	0.0861493125436833	0.769518433948187	0.000548420805530587	0.95	0	0.0282941234774516	2015	Mouth	observed_otus
Residuals	214798.147563295	157	NA	NA	NA	NA	NA	NA	2015	Mouth	observed_otus
(Intercept)	251216.549109721	1	166.963867613683	1.23213715882202e-25	NA	NA	NA	NA	2016	Mouth	observed_otus
Age_num	11613.3416676449	1	7.71847415156659	0.00621614522160964	0.0522512447809815	0.95	0.00435695897363372	0.139302860955491	2016	Mouth	observed_otus
Age_num:Expo	6150.01647527658	1	4.08743189984499	0.0451086824871571	0.0283677198347609	0.95	0	0.102213366912557	2016	Mouth	observed_otus
Age_num:Gender	1146.25446039779	1	0.761825121217877	0.384252513703962	0.00541215717089365	0.95	0	0.0541846011269064	2016	Mouth	observed_otus
Expo	11.0581251625554	1	0.00734946544023277	0.931804311377058	5.24934260115176e-05	0.95	0	0.0141675890316731	2016	Mouth	observed_otus
