Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Proteobacteria.D_2_Alphaproteobacteria.D_3_Acetobacterales.D_4_Acetobacteraceae.D_5_Roseomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	2.41355949736154	TRUE	27	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Pseudonocardiales.D_4_Pseudonocardiaceae.D_5_Actinomycetospora	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	1.81942267552512	TRUE	28	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Sinomonas	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Sinomonas	1.87234616183127	TRUE	29	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Terrabacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	1.68449905588518	TRUE	30	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Chitinophagales.D_4_Chitinophagaceae.D_5_Flavisolibacter	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	2.26997936187784	TRUE	31	Right_Arm	2015
D_0_Bacteria.D_1_Acidobacteria.D_2_Acidobacteriia.D_3_Solibacterales.D_4_Solibacteraceae..Subgroup.3..D_5_Bryobacter	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae..Subgroup.3.	Bryobacter	2.03350869882172	TRUE	32	Right_Arm	2015
D_0_Bacteria.D_1_Planctomycetes.D_2_Planctomycetacia.D_3_Gemmatales.D_4_Gemmataceae.D_5_uncultured	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	1.80133727438788	TRUE	33	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Thermoleophilia.D_3_Solirubrobacterales.D_4_Solirubrobacteraceae.D_5_Solirubrobacter	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	1.63568879152645	TRUE	34	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_.D_5_	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			1.68820145943782	TRUE	35	Right_Arm	2015
D_0_Archaea.D_1_Euryarchaeota.D_2_Halobacteria.D_3_Halobacteriales.D_4_Halococcaceae.D_5_Halococcus	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	4.75643089372915	TRUE	36	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Intrasporangiaceae.D_5_Janibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	4.05513998987845	TRUE	37	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Pseudonocardiales.D_4_Pseudonocardiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		3.46058352154291	TRUE	38	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Dermacoccaceae.D_5_Flexivirga	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Flexivirga	2.74855044270972	TRUE	39	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_uncultured.Corynebacterium.sp.	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	uncultured.Corynebacterium.sp.	2.96456935394675	TRUE	40	Right_Arm	2015
D_0_Bacteria.D_1_Proteobacteria.D_2_Gammaproteobacteria.D_3_Xanthomonadales.D_4_Xanthomonadaceae.D_5_Lysobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	1.52189353886393	TRUE	41	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Kineosporiales.D_4_Kineosporiaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae		2.22975223819671	TRUE	42	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Rubrobacteria.D_3_Rubrobacterales.D_4_Rubrobacteriaceae.D_5_Rubrobacter	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	2.81178278075099	TRUE	43	Right_Arm	2015
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Nostocales.D_4_Chroococcidiopsaceae.D_5_Chroococcidiopsis.PCC.7203	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Chroococcidiopsis.PCC.7203	3.18861527617029	TRUE	44	Right_Arm	2015
D_0_Bacteria.D_1_Cyanobacteria.D_2_Oxyphotobacteria.D_3_Nostocales.D_4_Chroococcidiopsaceae.D_5_Chlorogloea.SAG.10.99	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Chlorogloea.SAG.10.99	2.35787569633308	TRUE	45	Right_Arm	2015
D_0_Bacteria.D_1_Chloroflexi.D_2_Chloroflexia.D_3_Chloroflexales.D_4_Roseiflexaceae.D_5_uncultured	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	1.59591848803862	TRUE	46	Right_Arm	2015
D_0_Bacteria.D_1_Gemmatimonadetes.D_2_Gemmatimonadetes.D_3_Gemmatimonadales.D_4_Gemmatimonadaceae.D_5_Gemmatirosa	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	2.01003942920755	TRUE	47	Right_Arm	2015
D_0_Bacteria.D_1_Chloroflexi.D_2_Ktedonobacteria.D_3_C0119.D_4_uncultured.Chloroflexi.bacterium.D_5_uncultured.Chloroflexi.bacterium	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured.Chloroflexi.bacterium	uncultured.Chloroflexi.bacterium	1.80587158210471	TRUE	48	Right_Arm	2015
